store_id,context_len,mae_all,mae_open,mae_closed,n_open,n_closed
1099,256,1266.6519205729167,1266.6519205729167,,30,0
1100,256,453.93310546875,472.8529522235577,330.9541015625,26,4
1101,256,685.35302734375,681.0799654447115,713.1279296875,26,4
1103,256,492.0968343098958,522.7142521784856,293.0836181640625,26,4
1105,256,709.9244140625,743.7469388521635,490.0780029296875,26,4
1106,256,274.46466471354165,278.8700420673077,245.8297119140625,26,4
1108,256,679.3644368489583,726.1453200120193,375.2886962890625,26,4
1110,256,590.5338297526042,640.1757342998798,267.8614501953125,26,4
1111,256,589.1340087890625,645.1930401141827,224.75030517578125,26,4
1112,256,1219.458447265625,1319.2208345853364,571.0029296875,26,4
1113,256,657.2558430989583,710.5642277644231,310.7513427734375,26,4
1114,256,1709.6683919270833,1778.1549729567307,1264.505615234375,26,4
1115,256,546.9713216145833,583.4647498497596,309.7640380859375,26,4
1,512,331.9094970703125,343.8363224909856,254.3851318359375,26,4
2,512,473.6418782552083,493.5833082932692,344.0225830078125,26,4
3,512,670.9225911458333,694.3802584134615,518.44775390625,26,4
4,512,1076.8167643229167,1160.4183067908655,533.40673828125,26,4
5,512,378.6103759765625,386.4129638671875,327.8935546875,26,4
6,512,398.4876220703125,423.0564434344952,238.790283203125,26,4
7,512,1035.3644856770834,1098.1659780649038,627.15478515625,26,4
8,512,529.940625,544.3220590444712,436.4613037109375,26,4
9,512,686.6336263020834,726.1506159855769,429.773193359375,26,4
10,512,653.3144449869792,684.3898080679087,451.3245849609375,26,4
11,512,796.4506184895833,857.4990422175481,399.6358642578125,26,4
12,512,696.1169759114583,711.7859637920673,594.2685546875,26,4
14,512,332.54140625,344.0438983623798,257.77520751953125,26,4
15,512,635.1920247395833,674.7144869290865,378.2960205078125,26,4
16,512,705.4766927083333,705.2328350360577,707.061767578125,26,4
17,512,642.640234375,673.9923940805288,438.8511962890625,26,4
18,512,582.414990234375,566.5425180288462,685.5860595703125,26,4
19,512,569.7463053385417,581.2523662860577,494.9569091796875,26,4
21,512,555.6713623046875,578.7392296424279,405.730224609375,26,4
23,512,681.6237630208333,706.2864614633413,521.3162231445312,26,4
24,512,1106.24521484375,1116.8698354867788,1037.1851806640625,26,4
25,512,1082.448046875,1183.5130333533655,425.525634765625,26,4
26,512,681.3992350260417,704.9139310396635,528.5537109375,26,4
27,512,1132.624169921875,1201.821533203125,682.84130859375,26,4
28,512,461.0289794921875,488.27039513221155,283.95977783203125,26,4
29,512,1031.1326009114584,1086.0589693509614,674.1112060546875,26,4
30,512,589.1537923177083,650.5162259615385,190.2979736328125,26,4
31,512,441.4032877604167,454.859375,353.938720703125,26,4
33,512,814.3484700520834,862.6036470853365,500.6898193359375,26,4
34,512,801.556982421875,876.8423414963943,312.2021484375,26,4
35,512,1478.4659342447917,1545.7186185396636,1041.323486328125,26,4
37,512,579.3080403645833,614.4432279146635,350.9293212890625,26,4
38,512,763.1935872395833,783.5878248948318,630.6310424804688,26,4
39,512,627.0924235026042,670.5687913161057,344.49603271484375,26,4
40,512,430.472705078125,459.51685509314905,241.68572998046875,26,4
42,512,1105.6267903645833,1147.9581956129807,830.47265625,26,4
43,512,524.48720703125,549.5028357872596,361.8856201171875,26,4
44,512,579.5059163411458,606.6783541165865,402.88507080078125,26,4
45,512,582.346240234375,610.8633094200721,396.98529052734375,26,4
47,512,724.259814453125,761.6554800180288,481.18798828125,26,4
48,512,290.2797444661458,302.7179142878606,209.431640625,26,4
49,512,675.49775390625,678.0238131009615,659.078369140625,26,4
50,512,592.2134602864584,613.9664963942307,450.8187255859375,26,4
53,512,591.0517008463542,624.5661996694712,373.20745849609375,26,4
54,512,685.2361653645834,724.5829326923077,429.482177734375,26,4
55,512,385.6982747395833,398.0156062199519,305.6356201171875,26,4
56,512,667.5085286458333,684.0039625901443,560.2882080078125,26,4
57,512,895.8573567708333,949.7464881310096,545.5780029296875,26,4
59,512,502.18740234375,530.8197584885818,316.07708740234375,26,4
60,512,819.8069661458334,828.3197678786057,764.4737548828125,26,4
61,512,627.6002522786458,673.4010103665865,329.89532470703125,26,4
62,512,438.062158203125,464.18006310096155,268.2957763671875,26,4
63,512,775.3943440755208,789.145986703726,686.0086669921875,26,4
64,512,1021.601025390625,1009.7203838641827,1098.8251953125,26,4
65,512,395.08689778645834,408.2259333683894,309.68316650390625,26,4
66,512,588.9873046875,627.4489558293269,338.986572265625,26,4
67,512,921.5150065104167,956.1972092848557,696.0806884765625,26,4
68,512,1196.4681803385417,1317.3248760516826,410.899658203125,26,4
69,512,917.5314778645833,976.0054086538462,537.450927734375,26,4
70,512,766.6792724609375,792.3823711688702,599.609130859375,26,4
71,512,779.3232584635417,792.4990985576923,693.6802978515625,26,4
73,512,351.14097493489584,367.2070124699519,246.71173095703125,26,4
74,512,537.4396809895833,554.4033390925481,427.1759033203125,26,4
75,512,634.4401529947917,661.9664963942307,455.5189208984375,26,4
77,512,729.2548502604167,745.9665715144231,620.628662109375,26,4
78,512,369.87403971354166,400.7397930438702,169.24664306640625,26,4
79,512,579.5603515625,593.1279954176682,491.37066650390625,26,4
80,512,618.3798177083333,633.4441856971154,520.46142578125,26,4
82,512,921.9348307291667,977.502197265625,560.7469482421875,26,4
83,512,374.73866373697916,404.32105431189905,182.453125,26,4
84,512,1001.3303385416667,1017.1603440504807,898.435302734375,26,4
85,512,609.4155436197917,609.4155436197917,,30,0
86,512,456.0480143229167,479.65748009314905,302.58648681640625,26,4
87,512,367.312060546875,392.66321739783655,202.529541015625,26,4
88,512,604.8095540364583,635.2922926682693,406.6717529296875,26,4
90,512,852.9381022135417,917.1434607872596,435.603271484375,26,4
91,512,391.80732421875,408.57723294771637,282.80291748046875,26,4
92,512,629.3850016276042,661.7497840294471,419.013916015625,26,4
93,512,495.44603678385414,539.8457688551682,206.8477783203125,26,4
94,512,591.8772786458334,578.4838115985577,678.934814453125,26,4
95,512,449.37488606770836,444.19088040865387,483.0709228515625,26,4
96,512,560.3799072265625,576.4000338040865,456.24908447265625,26,4
97,512,555.5348958333333,570.3312237079327,459.3587646484375,26,4
98,512,518.1037679036458,509.1298264723558,576.4343872070312,26,4
101,512,843.4712239583333,897.9355844350962,489.452880859375,26,4
102,512,1199.68701171875,1265.1637244591345,774.08837890625,26,4
103,512,392.82459309895836,426.37893442007214,174.72137451171875,26,4
104,512,845.5422526041667,925.8303034855769,323.669921875,26,4
105,512,522.8006998697916,530.9880840594952,469.58270263671875,26,4
106,512,1003.1425130208333,1091.3053072415864,430.0843505859375,26,4
107,512,674.886669921875,680.7831092247596,636.559814453125,26,4
109,512,761.6246744791666,814.2996732271635,419.2371826171875,26,4
110,512,417.7756022135417,454.6954345703125,177.79669189453125,26,4
111,512,687.0717122395833,733.5604154146635,384.8951416015625,26,4
112,512,638.963916015625,687.0821063701923,326.1956787109375,26,4
114,512,413.934814453125,432.19385704627405,295.25103759765625,26,4
116,512,492.8866373697917,518.9044471153846,323.7708740234375,26,4
117,512,262.398876953125,279.1067082331731,153.7979736328125,26,4
118,512,930.9144856770833,950.5404710036057,803.3455810546875,26,4
119,512,441.3569010416667,456.3662297175481,343.7962646484375,26,4
120,512,632.0901041666667,663.6215069110577,427.135986328125,26,4
121,512,297.3909016927083,312.79883751502405,197.23931884765625,26,4
122,512,1092.7175699869792,1092.7175699869792,,30,0
123,512,769.5312174479167,796.5462928185096,593.9332275390625,26,4
124,512,464.03160807291664,510.5749323918269,161.5,26,4
125,512,1213.87548828125,1274.666766826923,818.732177734375,26,4
126,512,635.2060139973959,691.4945256159856,269.3306884765625,26,4
128,512,771.334716796875,774.6226524939904,749.963134765625,26,4
130,512,480.2055419921875,504.9528245192308,319.34820556640625,26,4
131,512,631.1793212890625,690.06494140625,248.42279052734375,26,4
133,512,443.6928466796875,451.52123084435095,392.808349609375,26,4
134,512,297.948828125,328.09813514122595,101.97833251953125,26,4
135,512,616.5993489583333,647.8337214543269,413.575927734375,26,4
138,512,581.2050211588542,585.9985633263221,550.0469970703125,26,4
140,512,648.4150716145833,668.9790414663462,514.749267578125,26,4
141,512,494.92543131510416,492.24056302584137,512.3770751953125,26,4
142,512,272.568310546875,301.94509652944714,81.61920166015625,26,4
143,512,632.6223551432291,626.3277963491587,673.5369873046875,26,4
146,512,717.6300618489583,720.0587252103365,701.84375,26,4
147,512,869.37578125,914.9549654447115,573.111083984375,26,4
148,512,630.3397298177083,637.4252741887019,584.28369140625,26,4
150,512,820.5295572916667,862.73388671875,546.201416015625,26,4
151,512,628.2675130208333,640.2261493389423,550.536376953125,26,4
152,512,483.59144694010416,510.0028733473558,311.91717529296875,26,4
153,512,592.2911214192708,606.0033522385818,503.16162109375,26,4
154,512,859.1944010416667,881.5732797475962,713.731689453125,26,4
156,512,684.5466959635417,713.2386944110577,498.0487060546875,26,4
157,512,770.4357584635417,817.8847092848557,462.017578125,26,4
158,512,774.3478678385417,819.4043719951923,481.4805908203125,26,4
160,512,532.550732421875,550.7372295673077,414.3385009765625,26,4
161,512,610.084814453125,636.9352463942307,435.5570068359375,26,4
162,512,771.9583089192708,797.3905780498798,606.6485595703125,26,4
163,512,505.46708984375,532.1520244891827,332.0150146484375,26,4
166,512,552.3759521484375,588.6392634465144,316.6644287109375,26,4
167,512,790.05927734375,811.3714130108173,651.5303955078125,26,4
168,512,734.662744140625,769.7837289663462,506.3763427734375,26,4
169,512,757.655419921875,830.29443359375,285.5018310546875,26,4
170,512,489.68431803385414,529.4442420372596,231.24481201171875,26,4
171,512,741.6653157552083,758.5976374699519,631.605224609375,26,4
173,512,878.002197265625,938.9649000901443,481.74462890625,26,4
175,512,703.1880859375,759.1128117487981,339.6773681640625,26,4
176,512,480.1513671875,525.096670297476,188.00689697265625,26,4
177,512,499.5861083984375,541.097421499399,229.7625732421875,26,4
178,512,843.3802734375,870.2935697115385,668.44384765625,26,4
179,512,867.8550455729167,925.3323129507212,494.2528076171875,26,4
180,512,788.6988606770833,859.7589956430288,326.8079833984375,26,4
182,512,496.9142740885417,512.3568772536057,396.537353515625,26,4
184,512,587.4352376302083,635.7068246694712,273.669921875,26,4
185,512,625.5924641927083,666.5262732872596,359.522705078125,26,4
187,512,579.20380859375,615.147705078125,345.5684814453125,26,4
188,512,869.9195882161458,930.2684795673077,477.65179443359375,26,4
189,512,767.38193359375,822.125,411.552001953125,26,4
193,512,418.0200602213542,417.7388916015625,419.84765625,26,4
194,512,492.35576171875,529.7548264723557,249.2618408203125,26,4
195,512,926.3428873697917,954.4659329927885,743.5430908203125,26,4
196,512,431.0559488932292,430.87918795072113,432.20489501953125,26,4
197,512,650.1326334635417,655.7792029747596,613.429931640625,26,4
198,512,359.10322265625,386.74219689002405,179.44989013671875,26,4
199,512,739.0985514322916,753.5353440504807,645.2593994140625,26,4
200,512,847.1261555989583,929.2681415264423,313.2032470703125,26,4
201,512,538.5796793619792,569.8606238731971,335.2535400390625,26,4
202,512,457.40040690104166,439.10415414663464,576.3260498046875,26,4
203,512,624.7584147135417,664.0736929086538,369.2091064453125,26,4
205,512,654.2477376302083,680.8157113882212,481.555908203125,26,4
206,512,889.2347005208334,934.3347355769231,596.08447265625,26,4
207,512,1154.8667317708334,1185.8340407151443,953.5792236328125,26,4
208,512,385.1778605143229,422.5892662635216,142.00372314453125,26,4
209,512,760.670947265625,760.670947265625,,30,0
210,512,311.6363932291667,319.9507023737981,257.5933837890625,26,4
211,512,1187.7229817708333,1238.6747671274038,856.536376953125,26,4
212,512,465.70568033854164,490.45850548377405,304.81231689453125,26,4
213,512,741.0012369791667,749.6663724459135,684.6778564453125,26,4
214,512,671.6622721354166,677.5361140324519,633.4822998046875,26,4
216,512,859.1614420572917,906.4433218149038,551.8292236328125,26,4
217,512,552.8894856770834,591.7683856670673,300.1766357421875,26,4
219,512,259.8791870117187,282.5356773963341,112.61199951171875,26,4
220,512,543.8576578776042,586.9539325420673,263.73187255859375,26,4
221,512,595.0027669270834,618.0234375,445.368408203125,26,4
222,512,427.5694986979167,440.29822716346155,344.832763671875,26,4
223,512,703.4512858072917,732.2210975060096,516.447509765625,26,4
224,512,589.141162109375,568.239501953125,725.001953125,26,4
225,512,614.0307861328125,660.1103140024038,314.51385498046875,26,4
226,512,590.8951171875,580.8800330528846,655.9931640625,26,4
227,512,474.8398111979167,473.3737980769231,484.368896484375,26,4
228,512,784.5688151041667,785.25390625,780.11572265625,26,4
229,512,795.3796875,809.2240647536057,705.3912353515625,26,4
230,512,870.7610514322917,922.8329326923077,532.2938232421875,26,4
232,512,507.607080078125,547.0160193810096,251.448974609375,26,4
233,512,864.5385416666667,890.3484637920673,696.7740478515625,26,4
234,512,1275.1935384114583,1332.0603402944712,905.559326171875,26,4
235,512,549.4283284505208,567.4888634314904,432.03485107421875,26,4
236,512,590.30576171875,594.4644681490385,563.274169921875,26,4
237,512,381.1885172526042,416.9769944411058,148.56341552734375,26,4
238,512,944.1325358072917,981.0491098257212,704.1748046875,26,4
239,512,635.1620361328125,669.5438138521635,411.68048095703125,26,4
240,512,381.1512451171875,396.9948167067308,278.16802978515625,26,4
241,512,554.859375,569.8332895132212,457.5289306640625,26,4
242,512,443.43494466145836,475.93039175180286,232.21453857421875,26,4
244,512,634.0660888671875,660.6279109074519,461.41424560546875,26,4
245,512,888.22890625,909.2266188401443,751.7437744140625,26,4
246,512,777.2809407552083,861.2084585336538,231.7520751953125,26,4
247,512,759.4472330729167,770.0656550480769,690.427490234375,26,4
248,512,801.6545247395833,850.9080341045673,481.5067138671875,26,4
249,512,574.5364420572917,595.822763296274,436.17535400390625,26,4
250,512,943.5135091145834,982.3506234975962,691.072265625,26,4
251,512,1811.77724609375,1860.0506310096155,1498.000244140625,26,4
252,512,897.3229654947917,913.4659705528846,792.3934326171875,26,4
253,512,514.9853434244792,564.1657527043269,195.31268310546875,26,4
254,512,311.7714396158854,327.4856661283053,209.62896728515625,26,4
255,512,496.61578776041665,498.1283991887019,486.7838134765625,26,4
256,512,1077.5260904947916,1172.6912747896636,458.952392578125,26,4
257,512,514.1587565104167,562.8780893179087,197.48309326171875,26,4
259,512,593.8794270833333,593.8794270833333,,30,0
260,512,396.826171875,407.6653395432692,326.37158203125,26,4
261,512,1110.353515625,1157.4517728365386,804.21484375,26,4
262,512,1764.6701171875,1764.6701171875,,30,0
264,512,697.6925130208333,721.9428523137019,540.0653076171875,26,4
265,512,650.2496256510417,680.9293776292068,450.83123779296875,26,4
266,512,229.09644368489583,227.70979191706732,238.10968017578125,26,4
267,512,1319.8062662760417,1461.4891075721155,398.8677978515625,26,4
268,512,542.1973307291667,557.5119347205529,442.65240478515625,26,4
269,512,1265.9266276041667,1392.4224759615386,443.70361328125,26,4
270,512,787.38330078125,809.8190166766827,641.5511474609375,26,4
271,512,816.9119140625,877.2224872295673,424.8931884765625,26,4
272,512,656.3990885416666,681.4597355769231,493.5048828125,26,4
273,512,778.9892252604167,774.5438514122596,807.8841552734375,26,4
274,512,798.342236328125,798.342236328125,,30,0
